time,ambient,bean,air,thermocouple_2_temp,thermocouple_3_temp
195,74,309,385,788,789
196,74,310,385,788,789
197,74,311,385,788,789
198,74,311,385,788,789
199,74,312,385,788,788
200,74,312,385,788,789
201,74,313,385,788,788
202,74,314,386,788,789
203,74,314,386,788,788
204,74,315,386,788,788
205,74,316,387,788,789
206,74,316,387,788,788
207,74,317,387,788,789
208,74,317,387,788,789
209,74,318,387,788,789
210,74,318,387,788,788
211,74,319,387,788,789
212,74,319,387,788,789
213,74,320,387,788,789
214,74,321,388,788,788
215,74,321,388,788,789
216,74,322,388,788,789
217,74,322,388,788,789
218,74,323,388,788,789
219,74,323,388,788,788
220,74,324,388,788,789
221,74,324,388,788,788
222,74,325,388,788,788
223,74,326,388,788,789
224,74,326,388,788,788
225,74,327,388,788,789
226,74,327,388,788,789
227,74,328,388,788,789
228,74,328,389,788,788
229,74,329,389,788,788
230,74,329,389,788,788
231,74,330,389,788,788
232,74,331,390,788,788
233,74,331,390,788,788
234,74,332,390,788,788
235,74,332,390,788,788
236,74,333,390,788,788
237,74,333,390,788,788
238,74,334,390,788,788
239,74,334,390,788,788
240,74,335,390,788,789
241,74,335,391,788,788
242,74,336,391,788,789
243,74,336,391,788,789
244,74,337,391,788,789
245,74,337,391,788,789
246,74,338,391,788,789
247,74,338,391,788,788
248,74,338,391,788,789
249,74,339,391,788,788
250,74,339,391,788,789
251,74,340,391,788,789
252,74,340,391,788,788
253,74,341,391,788,789
254,74,341,391,788,788
255,74,342,392,788,789
256,74,342,392,788,788
257,74,343,392,788,788
258,74,343,392,788,789
259,74,344,392,788,789
260,74,344,392,788,788
261,74,345,392,788,789
262,74,345,392,788,788
263,74,346,392,788,788
264,74,346,392,788,789
265,74,347,393,788,788
266,74,347,393,788,788
267,74,348,393,788,789
268,74,348,393,788,789
269,74,349,393,788,788
270,74,349,393,788,789
272,74,349,393,788,789
273,74,350,393,788,789
274,74,350,393,788,789
275,74,351,393,788,789
276,74,351,394,788,789
277,74,352,394,788,788
278,74,352,394,788,788
279,74,353,394,788,788
280,74,353,394,788,788
281,74,354,394,788,789
282,74,354,394,788,788
283,74,355,395,788,789
284,74,355,395,788,788
285,74,355,395,788,788
286,74,356,395,788,789
287,74,356,395,788,789
288,74,356,395,788,788
289,74,357,395,788,788
290,74,357,395,788,789
291,74,358,396,788,789
292,74,358,396,788,788
293,74,359,396,788,789
294,74,359,396,788,789
295,74,359,396,788,788
296,74,360,396,788,789
297,74,360,396,788,788
298,74,361,396,788,789
299,74,361,396,788,788
300,74,361,396,788,788
301,74,362,396,788,788
302,74,362,396,788,788
303,74,363,396,788,788
304,74,363,396,788,788
305,74,364,397,788,788
306,74,364,397,788,788
307,74,364,397,788,788
308,74,365,397,788,788
309,74,365,397,788,788
310,74,366,397,788,788
311,74,366,397,788,788
312,74,367,397,788,788
313,74,367,397,788,788
