2015-07-25 23:37:58,147,time,thermocouple_index,thermocouple_temp
2015-07-25 23:45:39,145,460.997890949,1,440.812200
2015-07-25 23:45:39,561,461.413892031,0,332.241200
2015-07-25 23:45:41,129,462.981993914,1,441.070800
2015-07-25 23:45:43,209,465.061939955,0,332.499800
2015-07-25 23:45:43,848,465.701725006,0,332.284800
2015-07-25 23:45:44,009,465.862011909,0,332.511200
2015-07-25 23:45:44,329,466.181834936,1,441.340800
2015-07-25 23:45:45,321,467.174093962,1,441.616000
2015-07-25 23:45:46,376,468.229830027,1,441.885800
2015-07-25 23:45:46,409,468.262055874,0,332.742200
2015-07-25 23:45:47,081,468.934042931,0,332.527200
2015-07-25 23:45:47,625,469.478034973,0,332.769800
2015-07-25 23:45:48,392,470.245794058,1,442.123800
2015-07-25 23:45:51,208,473.061779976,0,332.984800
2015-07-25 23:45:52,456,474.309764862,1,442.382800
2015-07-25 23:45:53,001,474.85405302,3,863.836800
2015-07-25 23:45:54,473,476.325981855,0,333.239200
2015-07-25 23:45:54,856,476.709804058,1,442.636800
2015-07-25 23:45:56,424,478.277776003,1,442.879200
2015-07-25 23:45:56,905,478.757966042,1,443.106200
2015-07-25 23:45:57,704,479.557834864,1,443.332800
2015-07-25 23:45:58,153,480.006093979,0,333.481800
2015-07-25 23:45:58,888,480.741729975,1,443.591200
2015-07-25 23:46:00,424,482.277711868,1,443.802200
2015-07-25 23:46:00,872,482.725831985,0,333.708200
2015-07-25 23:46:01,321,483.174053907,1,444.109000
2015-07-25 23:46:01,385,483.238162994,2,861.700800
2015-07-25 23:46:01,609,483.46191597,1,443.861800
2015-07-25 23:46:02,024,483.877702951,1,444.136200
2015-07-25 23:46:02,921,484.773957968,1,444.346800
2015-07-25 23:46:02,953,484.805961847,0,333.919200
2015-07-25 23:46:03,561,485.413964033,0,333.704200
2015-07-25 23:46:03,753,485.606108904,0,334.026800
2015-07-25 23:46:04,872,486.725591898,1,444.573800
2015-07-25 23:46:06,153,488.006062984,2,861.481400
2015-07-25 23:46:06,153,488.006759882,3,863.627800
2015-07-25 23:46:06,345,488.197839975,1,444.326200
2015-07-25 23:46:07,336,489.189772844,0,334.253200
2015-07-25 23:46:07,624,489.477634907,1,444.088200
2015-07-25 23:46:08,297,490.149834871,1,443.834200
2015-07-25 23:46:08,360,490.21378684,2,861.685800
2015-07-25 23:46:08,457,490.309957981,3,863.836800
2015-07-25 23:46:08,616,490.469817877,1,443.618800
2015-07-25 23:46:09,192,491.045768023,1,443.364800
2015-07-25 23:46:09,577,491.429914951,1,443.149800
2015-07-25 23:46:10,601,492.453845024,0,334.475800
2015-07-25 23:46:10,761,492.613951921,1,443.364800
2015-07-25 23:46:11,368,493.221827984,1,443.591200
2015-07-25 23:46:12,105,493.958045006,1,443.802200
2015-07-25 23:46:13,353,495.205953836,1,444.012800
2015-07-25 23:46:14,569,496.421838999,0,334.690800
